"Name","test_score","fold","multimodal_state","Hostname","model","Created","dataset","Runtime","State"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_2","0.9210434756932422","2","ft","n311","TabPFN-v2 🤯","2026-04-03T00:22:19.000Z","MUL_TEXT_PRODUCT_SENTIMENT","441","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_2","0.9200492440507004","2","all","n311","TabPFN-v2p5 🇩🇪","2026-04-03T00:21:05.000Z","MUL_TEXT_PRODUCT_SENTIMENT","54","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_4","0.919995931555325","4","ft","n311","CatBoost 😸","2026-04-03T00:27:03.000Z","MUL_TEXT_PRODUCT_SENTIMENT","432","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_1","0.9195879582662936","1","all","n307","TabPFN-v2p5 🇩🇪","2026-04-03T00:15:08.000Z","MUL_TEXT_PRODUCT_SENTIMENT","53","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_2","0.9187652127467446","2","all","n311","CatBoost 😸","2026-04-03T00:18:40.000Z","MUL_TEXT_PRODUCT_SENTIMENT","59","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_4","0.9187075180569072","4","ft","n311","TabM Ⓜ️","2026-04-03T00:27:34.000Z","MUL_TEXT_PRODUCT_SENTIMENT","429","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_3","0.918412885677348","3","all","n311","TabPFN-v2p5 🇩🇪","2026-04-03T00:25:31.000Z","MUL_TEXT_PRODUCT_SENTIMENT","52","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_0","0.917993790123654","0","ft","n306","TabPFN-v2 🤯","2026-04-03T00:11:32.000Z","MUL_TEXT_PRODUCT_SENTIMENT","433","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_4","0.9167254576009054","4","ft","n311","TabPFN-v2 🤯","2026-04-03T00:30:02.000Z","MUL_TEXT_PRODUCT_SENTIMENT","326","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_0","0.916556796873826","0","all","n311","TabPFN-v2p5 🇩🇪","2026-04-03T00:10:08.000Z","MUL_TEXT_PRODUCT_SENTIMENT","53","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_0","0.916363136720606","0","ft","n307","TabPFN-v2p5 🇩🇪","2026-04-03T00:10:19.000Z","MUL_TEXT_PRODUCT_SENTIMENT","558","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_1","0.9159557226967624","1","ft","n311","CatBoost 😸","2026-04-03T00:13:23.000Z","MUL_TEXT_PRODUCT_SENTIMENT","317","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_4","0.9158099805252212","4","all","n307","TabPFN-v2p5 🇩🇪","2026-04-03T00:28:28.000Z","MUL_TEXT_PRODUCT_SENTIMENT","105","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_2","0.9141508372491992","2","all","n311","TabPFN-v2 🤯","2026-04-03T00:22:18.000Z","MUL_TEXT_PRODUCT_SENTIMENT","103","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_4","0.9134798024582168","4","ft","n307","TabPFN-v2p5 🇩🇪","2026-04-03T00:28:53.000Z","MUL_TEXT_PRODUCT_SENTIMENT","394","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_2","0.913067982153923","2","all","n311","TabM Ⓜ️","2026-04-03T00:19:46.000Z","MUL_TEXT_PRODUCT_SENTIMENT","51","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_0","0.9123889045506028","0","all","n311","TabPFN-v2 🤯","2026-04-03T00:11:27.000Z","MUL_TEXT_PRODUCT_SENTIMENT","53","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_1","0.912157043598033","1","all","n311","TabPFN-v2 🤯","2026-04-03T00:16:20.000Z","MUL_TEXT_PRODUCT_SENTIMENT","53","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_4","0.910305198362244","4","all","n311","TabPFN-v2 🤯","2026-04-03T00:29:52.000Z","MUL_TEXT_PRODUCT_SENTIMENT","70","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_0","0.9092733325488538","0","ft","n309","TabM Ⓜ️","2026-04-03T00:09:42.000Z","MUL_TEXT_PRODUCT_SENTIMENT","416","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_2","0.9082642210571856","2","ft","n309","LightGBM 💡","2026-04-03T00:17:53.000Z","MUL_TEXT_PRODUCT_SENTIMENT","382","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_1","0.908040963309294","1","ft","n311","LightGBM 💡","2026-04-03T00:12:22.000Z","MUL_TEXT_PRODUCT_SENTIMENT","309","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_1","0.9079852244113712","1","ft","n311","TabM Ⓜ️","2026-04-03T00:14:26.000Z","MUL_TEXT_PRODUCT_SENTIMENT","312","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_3","0.9053637828370314","3","ft","n309","LightGBM 💡","2026-04-03T00:24:20.000Z","MUL_TEXT_PRODUCT_SENTIMENT","505","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_0","0.9033117729551096","0","all","n306","TabM Ⓜ️","2026-04-03T00:09:03.000Z","MUL_TEXT_PRODUCT_SENTIMENT","51","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_4","0.9019824316319068","4","all","n311","TabM Ⓜ️","2026-04-03T00:27:30.000Z","MUL_TEXT_PRODUCT_SENTIMENT","50","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_4","0.9014415033768406","4","all","n307","CatBoost 😸","2026-04-03T00:27:00.000Z","MUL_TEXT_PRODUCT_SENTIMENT","57","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_3","0.9001052640937716","3","all","n311","CatBoost 😸","2026-04-03T00:24:41.000Z","MUL_TEXT_PRODUCT_SENTIMENT","57","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_4","0.9000989691086764","4","ft","n311","LightGBM 💡","2026-04-03T00:26:28.000Z","MUL_TEXT_PRODUCT_SENTIMENT","425","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_2","0.8977414712372032","2","all","n311","LightGBM 💡","2026-04-03T00:17:40.000Z","MUL_TEXT_PRODUCT_SENTIMENT","49","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_1","0.895891918195852","1","all","n311","CatBoost 😸","2026-04-03T00:13:05.000Z","MUL_TEXT_PRODUCT_SENTIMENT","61","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_1","0.8934976533469206","1","all","n311","TabM Ⓜ️","2026-04-03T00:14:13.000Z","MUL_TEXT_PRODUCT_SENTIMENT","50","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_1","0.8832734264049811","1","all","n311","LightGBM 💡","2026-04-03T00:12:08.000Z","MUL_TEXT_PRODUCT_SENTIMENT","50","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_0","0.8826418787197658","0","all","n311","CatBoost 😸","2026-04-03T00:07:50.000Z","MUL_TEXT_PRODUCT_SENTIMENT","58","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_3","0.8818801276343945","3","all","n311","TabM Ⓜ️","2026-04-03T00:25:00.000Z","MUL_TEXT_PRODUCT_SENTIMENT","72","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_0","0.8740072176270559","0","ft","n307","CatBoost 😸","2026-04-03T00:08:05.000Z","MUL_TEXT_PRODUCT_SENTIMENT","419","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_4","0.8723084199346527","4","all","n311","LightGBM 💡","2026-04-03T00:26:20.000Z","MUL_TEXT_PRODUCT_SENTIMENT","49","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_3","0.8665056789252554","3","all","n309","LightGBM 💡","2026-04-03T00:24:19.000Z","MUL_TEXT_PRODUCT_SENTIMENT","49","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_0","0.860151166596246","0","ft","n311","LightGBM 💡","2026-04-03T00:07:07.000Z","MUL_TEXT_PRODUCT_SENTIMENT","412","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_3","0.8435699910305247","3","no_text","nlp20.iem.technion.ac.il","CatBoost 😸","2026-04-05T09:41:52.000Z","MUL_TEXT_PRODUCT_SENTIMENT","13","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_3","0.84341142866266","3","no_text","nlp20.iem.technion.ac.il","LightGBM 💡","2026-04-05T09:40:48.000Z","MUL_TEXT_PRODUCT_SENTIMENT","13","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_3","0.8404468663534018","3","no_text","nlp-srv2.iem.technion.ac.il","TabPFN-v2 🤯","2026-04-05T09:44:27.000Z","MUL_TEXT_PRODUCT_SENTIMENT","263","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_3","0.8399663728271445","3","no_text","nlp20.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T09:42:56.000Z","MUL_TEXT_PRODUCT_SENTIMENT","303","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_0","0.8383638975593984","0","all","n311","LightGBM 💡","2026-04-03T00:06:37.000Z","MUL_TEXT_PRODUCT_SENTIMENT","49","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_0","0.8374355116707531","0","no_text","nlp19.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T09:29:13.000Z","MUL_TEXT_PRODUCT_SENTIMENT","229","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_0","0.83454303717305","0","no_text","nlp19.iem.technion.ac.il","LightGBM 💡","2026-04-05T09:27:47.000Z","MUL_TEXT_PRODUCT_SENTIMENT","11","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_0","0.8344916001979384","0","no_text","nlp19.iem.technion.ac.il","CatBoost 😸","2026-04-05T09:28:04.000Z","MUL_TEXT_PRODUCT_SENTIMENT","12","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_0","0.8334453417256058","0","no_text","nlp20.iem.technion.ac.il","TabPFN-v2 🤯","2026-04-05T09:30:38.000Z","MUL_TEXT_PRODUCT_SENTIMENT","299","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_4","0.8307296453832611","4","no_text","nlp19.iem.technion.ac.il","CatBoost 😸","2026-04-05T09:46:33.000Z","MUL_TEXT_PRODUCT_SENTIMENT","13","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_4","0.8307008642579329","4","no_text","nlp19.iem.technion.ac.il","LightGBM 💡","2026-04-05T09:45:24.000Z","MUL_TEXT_PRODUCT_SENTIMENT","11","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_4","0.8298812191256808","4","no_text","nlp20.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T09:48:04.000Z","MUL_TEXT_PRODUCT_SENTIMENT","299","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_4","0.8293605693548841","4","no_text","nlp19.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T09:47:41.000Z","MUL_TEXT_PRODUCT_SENTIMENT","13","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_4","0.8290639250445029","4","no_text","nlp19.iem.technion.ac.il","TabPFN-v2 🤯","2026-04-05T09:48:55.000Z","MUL_TEXT_PRODUCT_SENTIMENT","219","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_3","0.828517516632171","3","no_text","nlp19.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T09:42:19.000Z","MUL_TEXT_PRODUCT_SENTIMENT","13","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_2","0.8265803158903047","2","text_only","nlp20.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T09:38:15.000Z","MUL_TEXT_PRODUCT_SENTIMENT","45","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_1","0.8216954535357963","1","no_text","nlp19.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T09:34:01.000Z","MUL_TEXT_PRODUCT_SENTIMENT","222","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_1","0.8214248084121688","1","no_text","nlp-srv2.iem.technion.ac.il","TabPFN-v2 🤯","2026-04-05T09:35:23.000Z","MUL_TEXT_PRODUCT_SENTIMENT","265","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_2","0.8207843270954712","2","text_only","nlp20.iem.technion.ac.il","TabPFN-v2 🤯","2026-04-05T09:39:08.000Z","MUL_TEXT_PRODUCT_SENTIMENT","47","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_2","0.818220719120879","2","no_text","nlp19.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T09:38:39.000Z","MUL_TEXT_PRODUCT_SENTIMENT","216","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_4","0.8176336297929747","4","text_only","nlp19.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T09:47:58.000Z","MUL_TEXT_PRODUCT_SENTIMENT","50","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_1","0.8173090476444829","1","no_text","nlp-srv2.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T09:33:15.000Z","MUL_TEXT_PRODUCT_SENTIMENT","15","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_1","0.8169282360433049","1","no_text","nlp-srv2.iem.technion.ac.il","CatBoost 😸","2026-04-05T09:32:53.000Z","MUL_TEXT_PRODUCT_SENTIMENT","16","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_0","0.8165759013944519","0","no_text","nlp20.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T09:28:47.000Z","MUL_TEXT_PRODUCT_SENTIMENT","13","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_2","0.8160573905234871","2","no_text","nlp-srv2.iem.technion.ac.il","TabPFN-v2 🤯","2026-04-05T09:39:55.000Z","MUL_TEXT_PRODUCT_SENTIMENT","268","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_1","0.8143176841487073","1","no_text","nlp-srv2.iem.technion.ac.il","LightGBM 💡","2026-04-05T09:31:44.000Z","MUL_TEXT_PRODUCT_SENTIMENT","13","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_0","0.8128189450635713","0","text_only","nlp20.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T09:29:03.000Z","MUL_TEXT_PRODUCT_SENTIMENT","44","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_2","0.8127945847343854","2","no_text","nlp20.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T09:37:53.000Z","MUL_TEXT_PRODUCT_SENTIMENT","15","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_1","0.8122777221627759","1","text_only","nlp-srv2.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T09:33:36.000Z","MUL_TEXT_PRODUCT_SENTIMENT","49","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_2","0.809756216133349","2","no_text","nlp20.iem.technion.ac.il","CatBoost 😸","2026-04-05T09:37:37.000Z","MUL_TEXT_PRODUCT_SENTIMENT","14","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_2","0.8092344253160765","2","no_text","nlp20.iem.technion.ac.il","LightGBM 💡","2026-04-05T09:36:28.000Z","MUL_TEXT_PRODUCT_SENTIMENT","12","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_4","0.8073916258522054","4","text_only","nlp-srv2.iem.technion.ac.il","TabPFN-v2 🤯","2026-04-05T09:48:54.000Z","MUL_TEXT_PRODUCT_SENTIMENT","47","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_2","0.8048014993938748","2","text_only","nlp19.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T09:37:47.000Z","MUL_TEXT_PRODUCT_SENTIMENT","47","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_0","0.8027173324092495","0","text_only","nlp20.iem.technion.ac.il","TabPFN-v2 🤯","2026-04-05T09:29:50.000Z","MUL_TEXT_PRODUCT_SENTIMENT","45","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_1","0.8023980404590743","1","text_only","nlp-srv2.iem.technion.ac.il","TabPFN-v2 🤯","2026-04-05T09:34:30.000Z","MUL_TEXT_PRODUCT_SENTIMENT","48","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_4","0.8017463383659145","4","text_only","nlp19.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T09:46:49.000Z","MUL_TEXT_PRODUCT_SENTIMENT","48","finished"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_3","0.7983564298596321","3","text_only","nlp19.iem.technion.ac.il","TabPFN-v2 🤯","2026-04-05T09:43:33.000Z","MUL_TEXT_PRODUCT_SENTIMENT","51","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_0","0.796956158749035","0","text_only","nlp19.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T09:28:21.000Z","MUL_TEXT_PRODUCT_SENTIMENT","48","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_2","0.7962152676441246","2","text_only","nlp20.iem.technion.ac.il","CatBoost 😸","2026-04-05T09:36:44.000Z","MUL_TEXT_PRODUCT_SENTIMENT","47","finished"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_3","0.7960840196389222","3","text_only","nlp19.iem.technion.ac.il","TabPFN-v2p5 🇩🇪","2026-04-05T09:42:35.000Z","MUL_TEXT_PRODUCT_SENTIMENT","51","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_4","0.7937292470657464","4","text_only","nlp19.iem.technion.ac.il","CatBoost 😸","2026-04-05T09:45:40.000Z","MUL_TEXT_PRODUCT_SENTIMENT","48","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_1","0.7909519689419069","1","text_only","nlp19.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T09:33:08.000Z","MUL_TEXT_PRODUCT_SENTIMENT","49","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_0","0.7732587066871415","0","text_only","nlp20.iem.technion.ac.il","CatBoost 😸","2026-04-05T09:27:59.000Z","MUL_TEXT_PRODUCT_SENTIMENT","46","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_4","0.7720399905277724","4","text_only","nlp19.iem.technion.ac.il","LightGBM 💡","2026-04-05T09:44:31.000Z","MUL_TEXT_PRODUCT_SENTIMENT","46","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_2","0.7714725560433052","2","text_only","nlp20.iem.technion.ac.il","LightGBM 💡","2026-04-05T09:35:41.000Z","MUL_TEXT_PRODUCT_SENTIMENT","43","finished"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_3","0.7687294151738235","3","text_only","nlp20.iem.technion.ac.il","TabM Ⓜ️","2026-04-05T09:42:08.000Z","MUL_TEXT_PRODUCT_SENTIMENT","43","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_1","0.7661330771609327","1","text_only","nlp-srv2.iem.technion.ac.il","CatBoost 😸","2026-04-05T09:32:01.000Z","MUL_TEXT_PRODUCT_SENTIMENT","46","finished"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_3","0.7637023149763026","3","text_only","nlp20.iem.technion.ac.il","CatBoost 😸","2026-04-05T09:41:05.000Z","MUL_TEXT_PRODUCT_SENTIMENT","44","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_1","0.7501408359031158","1","text_only","nlp18.iem.technion.ac.il","LightGBM 💡","2026-04-05T09:30:44.000Z","MUL_TEXT_PRODUCT_SENTIMENT","1411","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_0","0.7439286998596724","0","text_only","nlp19.iem.technion.ac.il","LightGBM 💡","2026-04-05T09:26:55.000Z","MUL_TEXT_PRODUCT_SENTIMENT","46","finished"
"light_MUL_TEXT_PRODUCT_SENTIMENT_3","0.712392756057098","3","text_only","nlp20.iem.technion.ac.il","LightGBM 💡","2026-04-05T09:40:00.000Z","MUL_TEXT_PRODUCT_SENTIMENT","44","finished"
