"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"light_BIN_TEXT_JIGSAW_TOXICITY_3","0.9209614343825836","3","ft","LightGBM 💡","2026-04-04T11:51:52.000Z","BIN_TEXT_JIGSAW_TOXICITY","4052","e5-large"
"light_BIN_TEXT_JIGSAW_TOXICITY_3","0.8212259292236247","3","all","LightGBM 💡","2026-04-04T11:51:36.000Z","BIN_TEXT_JIGSAW_TOXICITY","869","e5-large"
"tabpfnv2_BIN_TEXT_JIGSAW_TOXICITY_2","0.9327283995879816","2","ft","TabPFN-v2 🤯","2026-04-04T11:44:49.000Z","BIN_TEXT_JIGSAW_TOXICITY","4909","e5-large"
"tabpfnv2_BIN_TEXT_JIGSAW_TOXICITY_2","0.8312928822081391","2","all","TabPFN-v2 🤯","2026-04-04T11:34:42.000Z","BIN_TEXT_JIGSAW_TOXICITY","1006","e5-large"
"tabpfnv2p5_BIN_TEXT_JIGSAW_TOXICITY_2","0.9380968592328776","2","ft","TabPFN-v2p5 🇩🇪","2026-04-04T11:31:10.000Z","BIN_TEXT_JIGSAW_TOXICITY","4884","e5-large"
"tabpfnv2p5_BIN_TEXT_JIGSAW_TOXICITY_2","0.8527208924736814","2","all","TabPFN-v2p5 🇩🇪","2026-04-04T11:29:25.000Z","BIN_TEXT_JIGSAW_TOXICITY","916","e5-large"
"tabm_BIN_TEXT_JIGSAW_TOXICITY_2","0.9340726967998744","2","ft","TabM Ⓜ️","2026-04-04T11:26:01.000Z","BIN_TEXT_JIGSAW_TOXICITY","4836","e5-large"
"tabm_BIN_TEXT_JIGSAW_TOXICITY_2","0.8473567974301227","2","all","TabM Ⓜ️","2026-04-04T11:20:05.000Z","BIN_TEXT_JIGSAW_TOXICITY","874","e5-large"
"cat_BIN_TEXT_JIGSAW_TOXICITY_2","0.925347858726584","2","ft","CatBoost 😸","2026-04-04T11:18:43.000Z","BIN_TEXT_JIGSAW_TOXICITY","4828","e5-large"
"cat_BIN_TEXT_JIGSAW_TOXICITY_2","0.8274105693185985","2","all","CatBoost 😸","2026-04-04T11:16:43.000Z","BIN_TEXT_JIGSAW_TOXICITY","860","e5-large"
"light_BIN_TEXT_JIGSAW_TOXICITY_2","0.9354169940117668","2","ft","LightGBM 💡","2026-04-04T11:11:34.000Z","BIN_TEXT_JIGSAW_TOXICITY","4862","e5-large"
"light_BIN_TEXT_JIGSAW_TOXICITY_2","0.8137450025314689","2","all","LightGBM 💡","2026-04-04T11:11:14.000Z","BIN_TEXT_JIGSAW_TOXICITY","883","e5-large"
"tabpfnv2_BIN_TEXT_JIGSAW_TOXICITY_1","0.926441191361581","1","ft","TabPFN-v2 🤯","2026-04-04T11:07:30.000Z","BIN_TEXT_JIGSAW_TOXICITY","5793","e5-large"
"tabpfnv2_BIN_TEXT_JIGSAW_TOXICITY_1","0.81600150142286","1","all","TabPFN-v2 🤯","2026-04-04T11:03:38.000Z","BIN_TEXT_JIGSAW_TOXICITY","981","e5-large"
"tabpfnv2p5_BIN_TEXT_JIGSAW_TOXICITY_1","0.9297670175806142","1","ft","TabPFN-v2p5 🇩🇪","2026-04-04T11:03:35.000Z","BIN_TEXT_JIGSAW_TOXICITY","5776","e5-large"
"tabpfnv2p5_BIN_TEXT_JIGSAW_TOXICITY_1","0.837062885176068","1","all","TabPFN-v2p5 🇩🇪","2026-04-04T11:03:28.000Z","BIN_TEXT_JIGSAW_TOXICITY","909","e5-large"
"tabm_BIN_TEXT_JIGSAW_TOXICITY_1","0.917574503744828","1","ft","TabM Ⓜ️","2026-04-04T11:01:58.000Z","BIN_TEXT_JIGSAW_TOXICITY","4842","e5-large"
"tabm_BIN_TEXT_JIGSAW_TOXICITY_1","0.8307625831456555","1","all","TabM Ⓜ️","2026-04-04T10:52:31.000Z","BIN_TEXT_JIGSAW_TOXICITY","893","e5-large"
"cat_BIN_TEXT_JIGSAW_TOXICITY_1","0.9130091307459977","1","ft","CatBoost 😸","2026-04-04T10:51:46.000Z","BIN_TEXT_JIGSAW_TOXICITY","4863","e5-large"
"cat_BIN_TEXT_JIGSAW_TOXICITY_1","0.8033703451526738","1","all","CatBoost 😸","2026-04-04T10:47:36.000Z","BIN_TEXT_JIGSAW_TOXICITY","859","e5-large"
"light_BIN_TEXT_JIGSAW_TOXICITY_1","0.9061828942544388","1","ft","LightGBM 💡","2026-04-04T10:47:06.000Z","BIN_TEXT_JIGSAW_TOXICITY","4838","e5-large"
"light_BIN_TEXT_JIGSAW_TOXICITY_1","0.785767907959287","1","all","LightGBM 💡","2026-04-04T10:32:49.000Z","BIN_TEXT_JIGSAW_TOXICITY","852","e5-large"
"tabpfnv2_BIN_TEXT_JIGSAW_TOXICITY_0","0.8131666928542748","0","all","TabPFN-v2 🤯","2026-04-04T10:17:04.000Z","BIN_TEXT_JIGSAW_TOXICITY","941","e5-large"
"tabpfnv2p5_BIN_TEXT_JIGSAW_TOXICITY_0","0.9033917316992264","0","ft","TabPFN-v2p5 🇩🇪","2026-04-04T10:16:58.000Z","BIN_TEXT_JIGSAW_TOXICITY","3581","e5-large"
"tabpfnv2p5_BIN_TEXT_JIGSAW_TOXICITY_0","0.8297347195307181","0","all","TabPFN-v2p5 🇩🇪","2026-04-04T10:16:57.000Z","BIN_TEXT_JIGSAW_TOXICITY","921","e5-large"
"tabm_BIN_TEXT_JIGSAW_TOXICITY_0","0.8261579287347893","0","all","TabM Ⓜ️","2026-04-04T10:02:01.000Z","BIN_TEXT_JIGSAW_TOXICITY","894","e5-large"
"tabm_BIN_TEXT_JIGSAW_TOXICITY_0","0.904533074948934","0","ft","TabM Ⓜ️","2026-04-04T10:02:01.000Z","BIN_TEXT_JIGSAW_TOXICITY","3683","e5-large"
"cat_BIN_TEXT_JIGSAW_TOXICITY_0","0.9015345938301996","0","ft","CatBoost 😸","2026-04-04T10:02:00.000Z","BIN_TEXT_JIGSAW_TOXICITY","3692","e5-large"
"cat_BIN_TEXT_JIGSAW_TOXICITY_0","0.8054304369838858","0","all","CatBoost 😸","2026-04-04T10:02:00.000Z","BIN_TEXT_JIGSAW_TOXICITY","900","e5-large"
"light_BIN_TEXT_JIGSAW_TOXICITY_0","0.8970652420607902","0","ft","LightGBM 💡","2026-04-04T10:01:59.000Z","BIN_TEXT_JIGSAW_TOXICITY","3689","e5-large"
"light_BIN_TEXT_JIGSAW_TOXICITY_0","0.7701251767663541","0","all","LightGBM 💡","2026-04-04T10:01:58.000Z","BIN_TEXT_JIGSAW_TOXICITY","892","e5-large"
