"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","e5_model"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_3","0.9238666740795428","3","all","TabM Ⓜ️","2026-04-04T22:42:05.000Z","MUL_TEXT_PRODUCT_SENTIMENT","228","e5-large"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_3","0.9254621850665212","3","ft","CatBoost 😸","2026-04-04T22:38:48.000Z","MUL_TEXT_PRODUCT_SENTIMENT","2017","e5-large"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_3","0.9126330150711092","3","all","CatBoost 😸","2026-04-04T22:36:51.000Z","MUL_TEXT_PRODUCT_SENTIMENT","216","e5-large"
"light_MUL_TEXT_PRODUCT_SENTIMENT_3","0.913874707630863","3","ft","LightGBM 💡","2026-04-04T22:35:31.000Z","MUL_TEXT_PRODUCT_SENTIMENT","2021","e5-large"
"light_MUL_TEXT_PRODUCT_SENTIMENT_3","0.9192706188455976","3","all","LightGBM 💡","2026-04-04T22:33:22.000Z","MUL_TEXT_PRODUCT_SENTIMENT","206","e5-large"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_2","0.92299260385389","2","ft","TabPFN-v2 🤯","2026-04-04T22:31:55.000Z","MUL_TEXT_PRODUCT_SENTIMENT","2229","e5-large"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_2","0.9231643562499028","2","all","TabPFN-v2 🤯","2026-04-04T22:31:46.000Z","MUL_TEXT_PRODUCT_SENTIMENT","221","e5-large"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_2","0.92898692006026","2","ft","TabPFN-v2p5 🇩🇪","2026-04-04T22:28:59.000Z","MUL_TEXT_PRODUCT_SENTIMENT","2219","e5-large"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_2","0.9276049234363548","2","all","TabPFN-v2p5 🇩🇪","2026-04-04T22:27:56.000Z","MUL_TEXT_PRODUCT_SENTIMENT","223","e5-large"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_2","0.9203491916815024","2","ft","TabM Ⓜ️","2026-04-04T22:26:58.000Z","MUL_TEXT_PRODUCT_SENTIMENT","1836","e5-large"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_2","0.9261227335556724","2","all","TabM Ⓜ️","2026-04-04T22:25:30.000Z","MUL_TEXT_PRODUCT_SENTIMENT","205","e5-large"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_2","0.9217802472130884","2","ft","CatBoost 😸","2026-04-04T22:23:18.000Z","MUL_TEXT_PRODUCT_SENTIMENT","1828","e5-large"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_2","0.926676295472742","2","all","CatBoost 😸","2026-04-04T22:21:50.000Z","MUL_TEXT_PRODUCT_SENTIMENT","214","e5-large"
"light_MUL_TEXT_PRODUCT_SENTIMENT_2","0.92655474427345","2","ft","LightGBM 💡","2026-04-04T22:20:37.000Z","MUL_TEXT_PRODUCT_SENTIMENT","1829","e5-large"
"light_MUL_TEXT_PRODUCT_SENTIMENT_2","0.9129687495773452","2","all","LightGBM 💡","2026-04-04T22:19:49.000Z","MUL_TEXT_PRODUCT_SENTIMENT","201","e5-large"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_1","0.9463065828728432","1","ft","TabPFN-v2 🤯","2026-04-04T22:16:59.000Z","MUL_TEXT_PRODUCT_SENTIMENT","2523","e5-large"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_1","0.9345623081775388","1","all","TabPFN-v2 🤯","2026-04-04T22:16:42.000Z","MUL_TEXT_PRODUCT_SENTIMENT","231","e5-large"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_1","0.9464671886620116","1","ft","TabPFN-v2p5 🇩🇪","2026-04-04T22:13:45.000Z","MUL_TEXT_PRODUCT_SENTIMENT","2527","e5-large"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_1","0.9401815804290732","1","all","TabPFN-v2p5 🇩🇪","2026-04-04T22:10:05.000Z","MUL_TEXT_PRODUCT_SENTIMENT","213","e5-large"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_1","0.944011974086725","1","ft","TabM Ⓜ️","2026-04-04T22:07:31.000Z","MUL_TEXT_PRODUCT_SENTIMENT","1543","e5-large"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_1","0.9013441466695212","1","all","TabM Ⓜ️","2026-04-04T22:06:39.000Z","MUL_TEXT_PRODUCT_SENTIMENT","203","e5-large"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_1","0.9424585806890018","1","ft","CatBoost 😸","2026-04-04T22:05:47.000Z","MUL_TEXT_PRODUCT_SENTIMENT","1559","e5-large"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_1","0.9219158599099698","1","all","CatBoost 😸","2026-04-04T22:03:04.000Z","MUL_TEXT_PRODUCT_SENTIMENT","212","e5-large"
"light_MUL_TEXT_PRODUCT_SENTIMENT_1","0.949213727915452","1","ft","LightGBM 💡","2026-04-04T22:02:06.000Z","MUL_TEXT_PRODUCT_SENTIMENT","1546","e5-large"
"light_MUL_TEXT_PRODUCT_SENTIMENT_1","0.9209432948864168","1","all","LightGBM 💡","2026-04-04T21:56:31.000Z","MUL_TEXT_PRODUCT_SENTIMENT","330","e5-large"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_0","0.9308793413103532","0","ft","TabPFN-v2 🤯","2026-04-04T21:52:57.000Z","MUL_TEXT_PRODUCT_SENTIMENT","2033","e5-large"
"tabpfnv2_MUL_TEXT_PRODUCT_SENTIMENT_0","0.92114633190827","0","all","TabPFN-v2 🤯","2026-04-04T21:52:10.000Z","MUL_TEXT_PRODUCT_SENTIMENT","256","e5-large"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_0","0.9394902100122108","0","ft","TabPFN-v2p5 🇩🇪","2026-04-04T21:48:19.000Z","MUL_TEXT_PRODUCT_SENTIMENT","2004","e5-large"
"tabpfnv2p5_MUL_TEXT_PRODUCT_SENTIMENT_0","0.923564794799947","0","all","TabPFN-v2p5 🇩🇪","2026-04-04T21:46:25.000Z","MUL_TEXT_PRODUCT_SENTIMENT","214","e5-large"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_0","0.9295188109015542","0","ft","TabM Ⓜ️","2026-04-04T21:44:57.000Z","MUL_TEXT_PRODUCT_SENTIMENT","1917","e5-large"
"tabm_MUL_TEXT_PRODUCT_SENTIMENT_0","0.9236797682473812","0","all","TabM Ⓜ️","2026-04-04T21:42:56.000Z","MUL_TEXT_PRODUCT_SENTIMENT","206","e5-large"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_0","0.9234973203324552","0","ft","CatBoost 😸","2026-04-04T21:42:50.000Z","MUL_TEXT_PRODUCT_SENTIMENT","1930","e5-large"
"cat_MUL_TEXT_PRODUCT_SENTIMENT_0","0.9021668337185286","0","all","CatBoost 😸","2026-04-04T21:39:21.000Z","MUL_TEXT_PRODUCT_SENTIMENT","211","e5-large"
"light_MUL_TEXT_PRODUCT_SENTIMENT_0","0.9150148722552134","0","ft","LightGBM 💡","2026-04-04T21:35:24.000Z","MUL_TEXT_PRODUCT_SENTIMENT","1923","e5-large"
"light_MUL_TEXT_PRODUCT_SENTIMENT_0","0.9244170466864874","0","all","LightGBM 💡","2026-04-04T21:31:54.000Z","MUL_TEXT_PRODUCT_SENTIMENT","203","e5-large"
