"Name","test_score","fold","Created","dataset","model","multimodal_state","dino_model","Runtime"
"light_BIN_IMAGE_HATEFUL_MEME_3","0.762477447209274","3","2026-04-07T01:29:12.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","ft","dino-large","1046"
"light_BIN_IMAGE_HATEFUL_MEME_3","0.7298109533811991","3","2026-04-07T01:29:11.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","all","dino-large","498"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_2","0.7669165771609674","2","2026-04-07T01:29:09.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","ft","dino-large","1130"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_2","0.7794588388421226","2","2026-04-07T01:29:08.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","all","dino-large","527"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_2","0.7905487272554113","2","2026-04-07T01:29:08.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","ft","dino-large","1129"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_2","0.8013529028946936","2","2026-04-07T01:29:06.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","all","dino-large","527"
"tabm_BIN_IMAGE_HATEFUL_MEME_2","0.7982021259146777","2","2026-04-07T01:28:59.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","ft","dino-large","1049"
"tabm_BIN_IMAGE_HATEFUL_MEME_2","0.7940328358051015","2","2026-04-07T01:28:57.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","all","dino-large","504"
"cat_BIN_IMAGE_HATEFUL_MEME_2","0.7647419854921402","2","2026-04-07T01:28:46.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","ft","dino-large","1049"
"cat_BIN_IMAGE_HATEFUL_MEME_2","0.7694985740816187","2","2026-04-07T01:28:37.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","all","dino-large","503"
"light_BIN_IMAGE_HATEFUL_MEME_2","0.7706467161549411","2","2026-04-07T01:28:35.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","ft","dino-large","1051"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_0","0.7989031804064529","0","2026-04-06T20:13:12.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","ft","dino-large","1037"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_1","0.781575229760689","1","2026-04-06T19:38:27.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","ft","dino-large","2078"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_1","0.7653425114152835","1","2026-04-06T19:26:27.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","all","dino-large","717"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_1","0.79159898624875","1","2026-04-06T18:52:56.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","ft","dino-large","2006"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_1","0.7831651684382622","1","2026-04-06T18:41:28.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","all","dino-large","682"
"tabm_BIN_IMAGE_HATEFUL_MEME_1","0.7900011111052323","1","2026-04-06T18:07:37.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","ft","dino-large","2023"
"tabm_BIN_IMAGE_HATEFUL_MEME_1","0.7883238713022682","1","2026-04-06T17:56:30.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","all","dino-large","661"
"cat_BIN_IMAGE_HATEFUL_MEME_1","0.7768794874101195","1","2026-04-06T17:23:15.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","ft","dino-large","1988"
"cat_BIN_IMAGE_HATEFUL_MEME_1","0.7548848947889164","1","2026-04-06T17:12:55.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","all","dino-large","615"
"light_BIN_IMAGE_HATEFUL_MEME_1","0.7603769292225967","1","2026-04-06T16:43:55.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","ft","dino-large","1735"
"light_BIN_IMAGE_HATEFUL_MEME_1","0.7464087491600574","1","2026-04-06T16:33:39.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","all","dino-large","611"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_0","0.7930963328236359","0","2026-04-06T16:06:37.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","ft","dino-large","1617"
"tabpfnv2_BIN_IMAGE_HATEFUL_MEME_0","0.7756837265411294","0","2026-04-06T15:56:24.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2 🤯","all","dino-large","607"
"tabpfnv2p5_BIN_IMAGE_HATEFUL_MEME_0","0.785411188300591","0","2026-04-06T14:33:51.000Z","BIN_IMAGE_HATEFUL_MEME","TabPFN-v2p5 🇩🇪","all","dino-large","645"
"tabm_BIN_IMAGE_HATEFUL_MEME_0","0.797292077819694","0","2026-04-06T14:02:30.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","ft","dino-large","1878"
"tabm_BIN_IMAGE_HATEFUL_MEME_0","0.8010275077909641","0","2026-04-06T13:51:48.000Z","BIN_IMAGE_HATEFUL_MEME","TabM Ⓜ️","all","dino-large","637"
"cat_BIN_IMAGE_HATEFUL_MEME_0","0.7703186755625632","0","2026-04-06T13:21:35.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","ft","dino-large","1808"
"cat_BIN_IMAGE_HATEFUL_MEME_0","0.7583663578499584","0","2026-04-06T13:11:07.000Z","BIN_IMAGE_HATEFUL_MEME","CatBoost 😸","all","dino-large","624"
"light_BIN_IMAGE_HATEFUL_MEME_0","0.7545780181057242","0","2026-04-06T12:40:18.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","ft","dino-large","1841"
"light_BIN_IMAGE_HATEFUL_MEME_0","0.7408532229988201","0","2026-04-06T12:30:07.000Z","BIN_IMAGE_HATEFUL_MEME","LightGBM 💡","all","dino-large","607"
